experiment,global_epoch,k,no_models,local_epochs,lambda,lr,accuracy,loss,selected_clients
fedavg_k5_ge10_le1_fixed_fc,1,5,10,1,0.1,0.001,18.56,2.197680421447754,"[1, 0, 4, 9, 6]"
fedavg_k5_ge10_le1_fixed_fc,2,5,10,1,0.1,0.001,30.54,2.011396378707886,"[2, 1, 8, 4, 3]"
fedavg_k5_ge10_le1_fixed_fc,3,5,10,1,0.1,0.001,38.25,1.8528693967819214,"[0, 9, 1, 7, 6]"
fedavg_k5_ge10_le1_fixed_fc,4,5,10,1,0.1,0.001,41.42,1.734096017074585,"[8, 0, 3, 5, 6]"
fedavg_k5_ge10_le1_fixed_fc,5,5,10,1,0.1,0.001,43.03,1.6475461963653564,"[8, 6, 3, 7, 4]"
fedavg_k5_ge10_le1_fixed_fc,6,5,10,1,0.1,0.001,45.2,1.5778099617004395,"[4, 0, 2, 5, 3]"
fedavg_k5_ge10_le1_fixed_fc,7,5,10,1,0.1,0.001,46.78,1.5199941173553466,"[5, 4, 2, 1, 7]"
fedavg_k5_ge10_le1_fixed_fc,8,5,10,1,0.1,0.001,48.43,1.4740938339233398,"[1, 9, 6, 0, 2]"
fedavg_k5_ge10_le1_fixed_fc,9,5,10,1,0.1,0.001,50.01,1.4348508680343628,"[5, 4, 0, 9, 3]"
fedavg_k5_ge10_le1_fixed_fc,10,5,10,1,0.1,0.001,50.870000000000005,1.3996699859619142,"[8, 1, 6, 0, 4]"
